Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,99,99,1096,428
RebuildWholeGraph,0,13,242,242,991,428
RebuildWholeGraph,0,13,185,185,1097,428
RebuildWholeGraph,0,13,556,556,974,428
RebuildWholeGraph,0,13,216,216,1111,428
RebuildWholeGraph,0,13,128,128,1097,428
RebuildWholeGraph,0,13,82,82,991,428
RebuildWholeGraph,0,13,83,83,974,428
RebuildWholeGraph,0,13,73,73,974,428
RebuildWholeGraph,0,13,106,106,974,428
RebuildWholeGraph,1,13,525,525,372,384
RebuildWholeGraph,1,13,347,347,365,384
RebuildWholeGraph,1,13,183,183,361,384
RebuildWholeGraph,1,13,231,231,362,384
RebuildWholeGraph,1,13,167,167,362,384
RebuildWholeGraph,1,13,460,460,365,384
RebuildWholeGraph,1,13,1000,1000,364,384
RebuildWholeGraph,1,13,95,95,366,384
RebuildWholeGraph,1,13,983,983,357,384
RebuildWholeGraph,1,13,198,198,361,384
RebuildWholeGraph,2,13,124,124,427,426
RebuildWholeGraph,2,13,149,149,431,426
RebuildWholeGraph,2,13,123,123,427,426
RebuildWholeGraph,2,13,375,375,427,426
RebuildWholeGraph,2,13,109,109,427,426
RebuildWholeGraph,2,13,299,299,427,426
RebuildWholeGraph,2,13,56,56,431,426
RebuildWholeGraph,2,13,130,130,427,426
RebuildWholeGraph,2,13,69,69,437,426
RebuildWholeGraph,2,13,186,186,430,426
RebuildWholeGraph,3,13,58,58,417,410
RebuildWholeGraph,3,13,57,57,442,410
RebuildWholeGraph,3,13,52,52,451,410
RebuildWholeGraph,3,13,56,56,451,410
RebuildWholeGraph,3,13,64,64,454,410
RebuildWholeGraph,3,13,53,53,417,410
RebuildWholeGraph,3,13,53,53,442,410
RebuildWholeGraph,3,13,61,61,417,410
RebuildWholeGraph,3,13,53,53,424,410
RebuildWholeGraph,3,13,56,56,442,410
RebuildWholeGraph,4,15,168,168,334,316
RebuildWholeGraph,4,15,434,434,334,316
RebuildWholeGraph,4,15,320,320,334,316
RebuildWholeGraph,4,15,154,154,371,316
RebuildWholeGraph,4,15,339,339,334,316
RebuildWholeGraph,4,15,178,178,334,316
RebuildWholeGraph,4,15,156,156,322,316
RebuildWholeGraph,4,15,807,807,362,316
RebuildWholeGraph,4,15,267,267,334,316
RebuildWholeGraph,4,15,66,66,322,316
RebuildWholeGraph,5,15,136,136,411,394
RebuildWholeGraph,5,15,107,107,404,394
RebuildWholeGraph,5,15,50,50,411,394
RebuildWholeGraph,5,15,58,58,409,394
RebuildWholeGraph,5,15,167,167,412,394
RebuildWholeGraph,5,15,66,66,409,394
RebuildWholeGraph,5,15,101,101,416,394
RebuildWholeGraph,5,15,57,57,395,394
RebuildWholeGraph,5,15,87,87,388,394
RebuildWholeGraph,5,15,82,82,388,394
RebuildWholeGraph,6,15,44,44,437,432
RebuildWholeGraph,6,15,46,46,450,432
RebuildWholeGraph,6,15,46,46,450,432
RebuildWholeGraph,6,15,43,43,423,432
RebuildWholeGraph,6,15,45,45,441,432
RebuildWholeGraph,6,15,47,47,437,432
RebuildWholeGraph,6,15,49,49,447,432
RebuildWholeGraph,6,15,44,44,437,432
RebuildWholeGraph,6,15,48,48,438,432
RebuildWholeGraph,6,15,50,50,423,432
RebuildWholeGraph,7,14,51,51,424,410
RebuildWholeGraph,7,14,57,57,431,410
RebuildWholeGraph,7,14,55,55,451,408
RebuildWholeGraph,7,14,48,48,431,410
RebuildWholeGraph,7,14,46,46,459,410
RebuildWholeGraph,7,14,61,61,428,408
RebuildWholeGraph,7,14,66,66,463,408
RebuildWholeGraph,7,14,54,54,428,408
RebuildWholeGraph,7,14,44,44,459,410
RebuildWholeGraph,7,14,47,47,424,410
RebuildWholeGraph,8,14,45,45,546,446
RebuildWholeGraph,8,14,39,39,537,446
RebuildWholeGraph,8,14,47,47,536,446
RebuildWholeGraph,8,14,39,39,535,446
RebuildWholeGraph,8,14,40,40,568,446
RebuildWholeGraph,8,14,40,40,537,446
RebuildWholeGraph,8,14,44,44,568,446
RebuildWholeGraph,8,14,41,41,546,446
RebuildWholeGraph,8,14,43,43,544,446
RebuildWholeGraph,8,14,41,41,536,446
RebuildWholeGraph,9,13,179,179,340,360
RebuildWholeGraph,9,13,371,371,273,360
RebuildWholeGraph,9,13,386,386,350,360
RebuildWholeGraph,9,13,1000,1000,340,360
RebuildWholeGraph,9,13,891,891,340,360
RebuildWholeGraph,9,13,266,266,340,360
RebuildWholeGraph,9,13,573,573,340,360
RebuildWholeGraph,9,13,473,473,340,360
RebuildWholeGraph,9,13,98,98,340,360
RebuildWholeGraph,9,13,760,760,340,360
RebuildWholeGraph,10,12,92,92,359,380
RebuildWholeGraph,10,12,102,102,373,380
RebuildWholeGraph,10,12,116,116,385,380
RebuildWholeGraph,10,12,65,65,321,384
RebuildWholeGraph,10,12,84,84,431,384
RebuildWholeGraph,10,12,56,56,399,380
RebuildWholeGraph,10,12,75,75,427,384
RebuildWholeGraph,10,12,59,59,417,384
RebuildWholeGraph,10,12,74,74,321,384
RebuildWholeGraph,10,12,65,65,387,380
RebuildWholeGraph,11,14,48,48,422,400
RebuildWholeGraph,11,14,51,51,421,400
RebuildWholeGraph,11,14,172,172,438,400
RebuildWholeGraph,11,14,56,56,441,400
RebuildWholeGraph,11,14,88,88,428,400
