Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,320,320,653,719
RebuildWholeGraph,0,13,66,66,575,729
RebuildWholeGraph,0,13,350,350,648,717
RebuildWholeGraph,0,13,223,223,666,717
RebuildWholeGraph,0,13,168,168,666,717
RebuildWholeGraph,0,13,442,442,680,717
RebuildWholeGraph,0,13,562,562,664,717
RebuildWholeGraph,0,13,273,273,567,717
RebuildWholeGraph,0,13,591,591,653,717
RebuildWholeGraph,0,13,173,173,664,717
RebuildWholeGraph,1,13,187,187,364,409
RebuildWholeGraph,1,13,238,238,373,409
RebuildWholeGraph,1,13,109,109,368,409
RebuildWholeGraph,1,13,44,44,365,409
RebuildWholeGraph,1,13,764,764,373,405
RebuildWholeGraph,1,13,56,56,361,409
RebuildWholeGraph,1,13,58,58,373,405
RebuildWholeGraph,1,13,82,82,365,409
RebuildWholeGraph,1,13,259,259,373,405
RebuildWholeGraph,1,13,46,46,361,409
RebuildWholeGraph,2,13,344,344,427,471
RebuildWholeGraph,2,13,105,105,415,471
RebuildWholeGraph,2,13,64,64,427,471
RebuildWholeGraph,2,13,281,281,434,471
RebuildWholeGraph,2,13,81,81,427,471
RebuildWholeGraph,2,13,341,341,418,471
RebuildWholeGraph,2,13,207,207,427,471
RebuildWholeGraph,2,13,66,66,423,471
RebuildWholeGraph,2,13,162,162,427,471
RebuildWholeGraph,2,13,248,248,430,471
RebuildWholeGraph,3,13,98,98,398,459
RebuildWholeGraph,3,13,132,132,433,459
RebuildWholeGraph,3,13,75,75,410,459
RebuildWholeGraph,3,13,201,201,430,459
RebuildWholeGraph,3,13,174,174,407,459
RebuildWholeGraph,3,13,484,484,398,459
RebuildWholeGraph,3,13,124,124,410,459
RebuildWholeGraph,3,13,94,94,431,459
RebuildWholeGraph,3,13,83,83,431,459
RebuildWholeGraph,3,13,136,136,407,459
RebuildWholeGraph,4,15,908,908,319,381
RebuildWholeGraph,4,15,474,474,319,381
RebuildWholeGraph,4,15,207,207,319,381
RebuildWholeGraph,4,15,772,772,319,381
RebuildWholeGraph,4,15,834,834,319,381
RebuildWholeGraph,4,15,123,123,319,381
RebuildWholeGraph,4,15,88,88,319,381
RebuildWholeGraph,4,15,204,204,323,381
RebuildWholeGraph,4,15,800,800,319,381
RebuildWholeGraph,4,15,266,266,319,381
RebuildWholeGraph,5,15,101,101,409,441
RebuildWholeGraph,5,15,85,85,389,441
RebuildWholeGraph,5,15,142,142,388,441
RebuildWholeGraph,5,15,90,90,395,441
RebuildWholeGraph,5,15,112,112,409,441
RebuildWholeGraph,5,15,64,64,388,441
RebuildWholeGraph,5,15,68,68,389,441
RebuildWholeGraph,5,15,64,64,409,441
RebuildWholeGraph,5,15,57,57,388,441
RebuildWholeGraph,5,15,73,73,389,441
RebuildWholeGraph,6,15,49,49,424,483
RebuildWholeGraph,6,15,48,48,423,483
RebuildWholeGraph,6,15,46,46,437,483
RebuildWholeGraph,6,15,48,48,438,483
RebuildWholeGraph,6,15,47,47,445,483
RebuildWholeGraph,6,15,47,47,450,483
RebuildWholeGraph,6,15,50,50,436,483
RebuildWholeGraph,6,15,48,48,444,483
RebuildWholeGraph,6,15,47,47,424,483
RebuildWholeGraph,6,15,47,47,444,483
RebuildWholeGraph,7,14,67,67,395,468
RebuildWholeGraph,7,14,71,71,422,468
RebuildWholeGraph,7,14,89,89,418,468
RebuildWholeGraph,7,14,125,125,418,468
RebuildWholeGraph,7,14,86,86,418,468
RebuildWholeGraph,7,14,206,206,395,468
RebuildWholeGraph,7,14,79,79,418,468
RebuildWholeGraph,7,14,64,64,425,468
RebuildWholeGraph,7,14,65,65,414,468
RebuildWholeGraph,7,14,146,146,399,468
RebuildWholeGraph,8,14,58,58,530,578
RebuildWholeGraph,8,14,62,62,470,578
RebuildWholeGraph,8,14,51,51,470,578
RebuildWholeGraph,8,14,59,59,470,578
RebuildWholeGraph,8,14,61,61,470,578
RebuildWholeGraph,8,14,51,51,470,578
RebuildWholeGraph,8,14,57,57,554,578
RebuildWholeGraph,8,14,55,55,470,578
RebuildWholeGraph,8,14,52,52,532,578
RebuildWholeGraph,8,14,57,57,470,578
RebuildWholeGraph,9,13,63,63,340,377
RebuildWholeGraph,9,13,91,91,273,377
RebuildWholeGraph,9,13,308,308,273,377
RebuildWholeGraph,9,13,84,84,356,377
RebuildWholeGraph,9,13,854,854,340,377
RebuildWholeGraph,9,13,305,305,273,377
RebuildWholeGraph,9,13,96,96,356,377
RebuildWholeGraph,9,13,254,254,355,377
RebuildWholeGraph,9,13,192,192,273,377
RebuildWholeGraph,9,13,90,90,277,381
