Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,45,45,1100,336.342739105225
RebuildWholeGraph,0,13,42,42,1096,336.342739105225
RebuildWholeGraph,0,13,43,43,974,336.342739105225
RebuildWholeGraph,0,13,40,40,1096,336.342739105225
RebuildWholeGraph,0,13,42,42,963,336.342739105225
RebuildWholeGraph,0,13,41,41,1117,336.342739105225
RebuildWholeGraph,0,13,40,40,1111,336.342739105225
RebuildWholeGraph,0,13,41,41,1100,336.342739105225
RebuildWholeGraph,0,13,41,41,1096,336.342739105225
RebuildWholeGraph,0,13,39,39,974,336.342739105225
RebuildWholeGraph,1,13,60,60,378,298.649837493896
RebuildWholeGraph,1,13,64,64,360,297.929455757141
RebuildWholeGraph,1,13,96,96,387,298.649837493896
RebuildWholeGraph,1,13,46,46,383,298.925424575806
RebuildWholeGraph,1,13,54,54,379,298.925424575806
RebuildWholeGraph,1,13,50,50,378,297.929455757141
RebuildWholeGraph,1,13,63,63,368,297.929455757141
RebuildWholeGraph,1,13,61,61,368,297.929455757141
RebuildWholeGraph,1,13,51,51,378,298.649837493896
RebuildWholeGraph,1,13,48,48,379,298.925424575806
RebuildWholeGraph,2,13,61,61,415,339.227689743042
RebuildWholeGraph,2,13,65,65,378,339.227689743042
RebuildWholeGraph,2,13,56,56,427,339.227689743042
RebuildWholeGraph,2,13,59,59,434,339.227689743042
RebuildWholeGraph,2,13,71,71,427,339.227689743042
RebuildWholeGraph,2,13,68,68,423,339.227689743042
RebuildWholeGraph,2,13,62,62,453,339.227689743042
RebuildWholeGraph,2,13,67,67,427,339.227689743042
RebuildWholeGraph,2,13,54,54,463,342.640563964844
RebuildWholeGraph,2,13,59,59,488,342.640563964844
RebuildWholeGraph,3,13,108,108,467,327.472661495209
RebuildWholeGraph,3,13,119,119,488,327.472661495209
RebuildWholeGraph,3,13,259,259,511,327.472661495209
RebuildWholeGraph,3,13,228,228,488,327.472661495209
RebuildWholeGraph,3,13,58,58,432,327.785378932953
RebuildWholeGraph,3,13,290,290,486,327.472661495209
RebuildWholeGraph,3,13,351,351,492,327.472661495209
RebuildWholeGraph,3,13,124,124,488,327.472661495209
RebuildWholeGraph,3,13,180,180,486,327.472661495209
RebuildWholeGraph,3,13,217,217,486,327.472661495209
RebuildWholeGraph,4,15,48,48,366,251.462040185928
RebuildWholeGraph,4,15,48,48,366,251.462040185928
RebuildWholeGraph,4,15,53,53,323,251.462040185928
RebuildWholeGraph,4,15,58,58,359,251.462040185928
RebuildWholeGraph,4,15,45,45,358,251.462040185928
RebuildWholeGraph,4,15,46,46,359,251.462040185928
RebuildWholeGraph,4,15,52,52,359,251.462040185928
RebuildWholeGraph,4,15,50,50,365,251.462040185928
RebuildWholeGraph,4,15,49,49,366,251.462040185928
RebuildWholeGraph,4,15,44,44,366,251.462040185928
RebuildWholeGraph,5,15,56,56,390,327.946759223938
RebuildWholeGraph,5,15,56,56,390,327.946759223938
RebuildWholeGraph,5,15,63,63,411,327.946759223938
